table_schema,table_name,column_name,ordinal_position,column_type,data_length,column_default,is_nullable,data_type,numeric_precision,numeric_scale,extra,index_name,referenced_table_schema,referenced_table_name,referenced_column_name,constraint_name,constraint_type
daf,daftargetdefinitions,dafid,1,bigint(20),None,None,NO,bigint,19,0,,FK_target_dafId_idx,daf,daf,dafid,FK_target_dafId,FOREIGN KEY
daf,daftargetdefinitions,targetid,2,bigint(20),None,None,NO,bigint,19,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,daftargetdefinitions,targetname,3,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetenvironmentid,4,int(20),None,None,YES,int,10,0,,FK_target_envId_idx,daf,targetenvironments,environmentid,FK_target_envId,FOREIGN KEY
daf,daftargetdefinitions,targethostname,5,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetlocationtypeid,6,bigint(20),None,None,YES,bigint,19,0,,FK_target_locId_idx,daf,locationtype,locationtypeid,FK_target_locId,FOREIGN KEY
daf,daftargetdefinitions,targettablename,7,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetfiletype,8,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetplatform,9,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetjoinlogic,10,varchar(255),255,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetaccessroles,11,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetclaritycode,12,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targethistoryrequirement,13,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetretentionrequirement,14,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetrccrequirement,15,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetupdatefrequency,16,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetsla,17,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetdeliverydatereq,18,date,None,None,YES,date,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetsampledeliverydatereq,19,date,None,None,YES,date,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,istargetenvironmentapproved,20,bit(1),None,None,YES,bit,1,None,,None,None,None,None,None,None
daf,daftargetdefinitions,transstartdate,21,datetime,None,None,NO,datetime,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,transenddate,22,datetime,None,None,NO,datetime,None,None,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,daftargetdefinitions,addedby,23,char(7),7,None,NO,char,None,None,,FK_target_addedBy_idx,daf,jpusers,usersid,FK_target_addedBy,FOREIGN KEY
daf,daftargetdefinitions,deletedby,24,char(7),7,None,YES,char,None,None,,FK_target_delBy_idx,daf,jpusers,usersid,FK_target_delBy,FOREIGN KEY
daf,daftargetdefinitions,targetsealid,25,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetbusinessjustification,26,varchar(255),255,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,daftargetdefinitions,targetlocation,27,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,id,1,bigint(20),None,None,NO,bigint,19,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,dai_ingest_test,jnumber,2,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,faddress,3,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,project,4,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,ssystem,5,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,stable,6,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,dafon,7,bigint(20),None,None,NO,bigint,19,0,,None,None,None,None,None,None
daf,dai_ingest_test,dafor,8,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,jpmisor,9,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,busor,10,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,boal,11,datetime,None,None,YES,datetime,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,recs,12,varchar(10),10,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,elnt,13,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,targetnt,14,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,dai_ingest_test,jirak,15,varchar(500),500,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,datatypes,datatypeid,1,bigint(20),None,None,NO,bigint,19,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,datatypes,datatypename,2,varchar(25),25,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,deidentificationformats,deidentificationformatid,1,bigint(20),None,None,NO,bigint,19,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,deidentificationformats,deidentificationformatname,2,varchar(25),25,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,infotype,infotypeid,1,bigint(20),None,None,NO,bigint,19,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,infotype,infotypename,2,varchar(25),25,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,jpusers,usersid,1,char(7),7,None,YES,char,None,None,,r_uniqsid,None,None,None,r_uniqsid,UNIQUE
daf,jpusers,username,2,varchar(55),55,None,NO,varchar,None,None,,None,None,None,None,None,None
daf,jpusers,useremail,3,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,jpusers,usertitle,4,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,jpusers,userfunctionaltitle,5,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,jpusers,transstartdate,6,datetime,None,None,NO,datetime,None,None,,None,None,None,None,None,None
daf,jpusers,transenddate,7,datetime,None,None,NO,datetime,None,None,,None,None,None,None,None,None
daf,jpusers,addedby,8,char(7),7,None,YES,char,None,None,,None,None,None,None,None,None
daf,jpusers,deletedby,9,char(7),7,None,YES,char,None,None,,None,None,None,None,None,None
daf,jpusers,id,10,bigint(20),None,None,NO,bigint,19,0,auto_increment,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,locationtype,locationtypeid,1,bigint(20),None,None,NO,bigint,19,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,locationtype,locationtypename,2,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,projectdetails,projectid,1,int(20),None,None,NO,int,10,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,projectdetails,projectname,2,varchar(255),255,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,projectdetails,projectclaritycode,3,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,projectdetails,projectmanagername,4,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,projectdomain,domainid,1,int(20),None,0,NO,int,10,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,projectdomain,projectdomainname,2,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,projectdomain,projectsubdomainname,3,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
daf,targetenvironments,environmentid,1,int(20),None,None,NO,int,10,0,,PRIMARY,None,None,None,PRIMARY,PRIMARY KEY
daf,targetenvironments,environmentname,2,varchar(55),55,None,YES,varchar,None,None,,None,None,None,None,None,None
